price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,CONDITION,FURNISHING,FACILITIES,ESTATE NAME,PROPERTY SIZE,NEW PROPERTY,TOTAL ROOMS,PARKING SPACE,PETS,SMOKING,PARTIES,BROKER FEE
"₦ 540,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per annum,prof Avenue Spilbert Owerri.,Newly Built,Semi-Furnished,"Kitchen Cabinets,Kitchen Shelf,Tiled Floor,Wardrobe,Dining Area,Apartment,Balcony",,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",Fairly Used,Semi-Furnished,"Apartment,Balcony,Tiled Floor,Pop Ceiling,Dining Area,Hot Water,Pre Paid Meter",,,,,,,,,
"₦ 600,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per quarter,Behind Saga Suite New Owerri,Newly Built,Semi-Furnished,"Tiled Floor,Pop Ceiling,Dining Area,Wardrobe,Kitchen Cabinets,Kitchen Shelf,Balcony,Pre Paid Meter",,,,,,,,,
"₦ 700,000","Imo, Owerri",Apartment,3 bedrooms,4 bathrooms,per annum,"Saga Suite, New Owerri, Imo State",Fairly Used,Furnished,"Dining Area,Pre Paid Meter,Tiled Floor,Kitchen Shelf,Balcony,Apartment,Wardrobe,Kitchen Cabinets,Pop Ceiling",,,,,,,,,
"₦ 600,000","Imo, Owerri",Block of Flats,3 bedrooms,4 bathrooms,per annum,Naze No.1 Human race,Newly Built,Furnished,"Dining Area,Pre Paid Meter,24 Hours Electricity,Wardrobe,Pop Ceiling,Chandelier,Hot Water,Kitchen Cabinets,Balcony,Tiled Floor",Jeuidco Homes,1000 sqm,,,,,,,
"₦ 800,000","Imo, Owerri",Block of Flats,3 bedrooms,4 bathrooms,per annum,New city New Owerri,Newly Built,Unfurnished,"24 Hours Electricity,Chandelier,Kitchen Cabinets,Tiled Floor,Wardrobe,Hot Water,Apartment,Balcony,Pop Ceiling,Dining Area,Pre Paid Meter",Jeuidco Homes,1000 sqm,,,,,,,
"₦ 550,000","Imo, Owerri",Bungalow,3 bedrooms,3 bathrooms,anually,,,Semi-Furnished,,,800 sqm,No,4,Yes,Pets Allowed,Allowed,Allowed,No
"₦ 1,800,000","Imo, Owerri",Duplex,3 bedrooms,4 bathrooms,anually,,,Semi-Furnished,,,800 sqm,No,4,Yes,Pets Allowed,Allowed,Allowed,No
"₦ 600,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,anually,,,Furnished,,,2000 sqm,Yes,4,Yes,Pets Allowed,Allowed,Allowed,No
"₦ 500,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,per annum,Located off Port Harcourt Road,Fairly Used,Furnished,"Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Tiled Floor,Wardrobe",,1200 sqm,,,,No Pets,,,
"₦ 4,500,000","Abuja, Asokoro",Block of Flats,3 bedrooms,4 bathrooms,per annum,asokoro Extension,Newly Built,Furnished,,asokoro Extension,,,,,,,,
"₦ 17,000,000","Abuja, Asokoro",Block of Flats,3 bedrooms,4 bathrooms,per annum,asokoro Abuja,Fairly Used,Furnished,"Kitchen Shelf,24 Hours Electricity,Balcony,Tiled Floor,Pre Paid Meter,Chandelier,Refrigerator,Microwave,TV,Kitchen Cabinets,Air Conditioning,Wi-Fi,Dishwasher,Hot Water,Dining Area,Wardrobe,Pop Ceiling",,,,,,Pets Allowed,,,
